GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,Component,28,0,2,0,10,0,7,0,6,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,CaseRoleRef,3,0,0,0,1,0,1,0,1,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,IconType,31,34,4,0,5,6,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,Breakpoint,14,3,0,0,6,1,4,1,4,1
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,I18NStringTypeWithExpression,16,0,2,0,6,0,4,0,3,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,FieldAlignment,31,45,4,0,5,7,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,Appearance,31,56,4,0,5,8,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,TriggerType,31,45,4,0,5,7,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,Behavior,31,89,4,0,5,11,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,DataType,31,199,4,0,5,21,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,Init,3,0,0,0,1,0,1,0,1,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,Template,31,34,4,0,5,6,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,Validation,17,0,0,0,7,0,5,0,5,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,DataRef,42,0,2,0,16,0,11,0,10,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,I18N,21,0,2,0,7,0,5,0,4,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,UserRef,3,0,0,0,1,0,1,0,1,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,Validations,14,0,2,0,4,0,3,0,2,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,ArcType,31,67,4,0,5,9,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,LayoutType,31,45,4,0,5,7,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,AssignedUser,17,0,0,0,7,0,5,0,5,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,ProcessEvent,10,0,0,0,4,0,3,0,3,0
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,AssignPolicy,31,34,4,0,5,6,4,2,2,2
Petri4J,com.mladoniczky.petri4j.parser.petriflow.model,CompactDirection,31,34,4,0,5,6,4,2,2,2
